#,Advertiser Name,Category,Relevancy
1,H&M,Fashion,3
2,Boot Barn,Fashion,3
3,Browns Shoes,Fashion,3
4,Brooklyn Industries,Fashion,3
5,Everlane,Fashion,3
6,Birkenstock,Fashion,3
7,Zappos.com,Fashion,1
8,Timberland,Fashion,2
9,Blundstone US,Fashion,3
10,ASOS,Fashion,3
11,PacSun,Fashion,2
12,CONVERSE,Fashion,2
13,Fashion Nova,Fashion,3
14,SKECHERS,Fashion,3
15,Urban Outfitters,Fashion,3
16,Lee Jeans,Fashion,3
17,Old Navy,Fashion,3
18,Dr. Martens,Fashion,1
19,Wolverine Boots & Apparel,Fashion,3
20,Blue Delta Jean Co.,Fashion,3
21,COS,Fashion,3
22,Tommy John,Fashion,3
23,Elwood Clothing,Fashion,3
24,Bershka,Fashion,3
25,Stuart Weitzman,Fashion,3
26,Thursday Boot Company,Fashion,2
27,FARFETCH,Fashion,3
28,Clarks Shoes,Fashion,2
29,SOREL,Fashion,3
30,DSW Designer Shoe Warehouse,Fashion,3
31,Gap,Fashion,3
32,J.Crew,Fashion,3
33,Calvin Klein,Fashion,3
34,kate spade new york,Fashion,2
35,American Eagle,Fashion,3
36,Banana Republic,Fashion,3
37,Dickies,Fashion,2
38,Nordstrom Rack,Fashion,2
39,MR PORTER,Fashion,2
40,Coach,Fashion,2
41,UNIQLO USA,Fashion,1
42,Vans,Fashion,2
43,DUER Performance,Fashion,3
44,ECCO,Fashion,3
45,Macy's,Fashion,3
46,Carhartt,Fashion,3
47,Fossil,Fashion,3
48,Tiffany & Co.,Fashion,3
49,StockX,Fashion,2
50,LOFT,Fashion,3
51,Hat Club,Fashion,3
52,Outerknown,Fashion,3
53,Express,Fashion,3
54,Men's Wearhouse,Fashion,3
55,Hamilton Watch,Fashion,3
56,Flex Watches,Fashion,3
57,Poshmark,Fashion,1
58,G-STAR,Fashion,3
59,Industrie Clothing,Fashion,3
60,RZE Watches,Fashion,3
61,Duke + Dexter,Fashion,3
62,maharishi,Fashion,3
63,Civil Clothing,Fashion,3
64,Maison Kitsune,Fashion,3
65,Brilliant Earth,Fashion,3
66,Highsnobiety,Fashion,2
67,ZALORA,Fashion,3
68,Richemont,Fashion,3
69,Uniqlo Canada,Fashion,2
70,Redcast Heritage Co.,Fashion,3
71,Altra Running,Fitness,1
72,Vivobarefoot,Fitness,1
73,Xero Shoes,Fitness,1
74,TYR Sport,Fitness,1
75,District Vision,Fitness,3
76,Vanquish Fitness,Fitness,1
77,Superfeet Worldwide,Fitness,3
78,Notorious Lift,Fitness,3
79,Fleet Feet,Fitness,2
80,NOBULL,Fitness,2
81,Nike,Fitness,1
82,ASICS,Fitness,1
83,ASICS New Zealand,Fitness,3
84,Saucony,Fitness,3
85,OOFOS,Fitness,3
86,On,Fitness,1
87,Brooks Running,Fitness,3
88,New Balance,Fitness,1
89,adidas,Fitness,1
90,PUMA,Fitness,2
91,Reebok,Fitness,2
92,Under Armour,Fitness,2
93,lululemon,Fitness,2
94,Gymshark,Fitness,1
95,Alphalete,Fitness,1
96,Vuori,Fitness,3
97,Carbon38,Fitness,3
98,Barbell Apparel,Fitness,3
99,DICK'S Sporting Goods,Fitness,1
100,Decathlon USA,Fitness,3
101,Champs Sports,Fitness,3
102,Finish Line,Fitness,2
103,Foot Locker,Fitness,3
104,Fanatics,Fitness,3
105,YMCA of Pierce and Kitsap Counties,Fitness,3
106,NordicTrack,Fitness,3
107,Inaka Power,Fitness,3
108,Strength Shop USA,Fitness,3
109,Xendurance,Fitness,3
110,The Tib Bar Guy,Fitness,3
111,Mark Bell,Fitness,3
112,Logainz Fitness LLC,Fitness,3
113,HOKA EMEA,Fitness,3
114,Commonwealth Running,Fitness,3
115,RUDIS,Fitness,3
116,Darn Tough Vermont Socks,Fitness,3
117,Runtothefinish,Fitness,3
118,Recov,Fitness,3
119,TALEX Performance,Fitness,3
120,Official Better Bodies,Fitness,3
121,Brandon Clark Fitness,Fitness,3
122,RetroMuscle Golden Era Dream,Fitness,3
123,Peak Performance Co,Fitness,2
124,Ekkovision,Fitness,3
125,mikechangofficial,Fitness,3
126,Fleet Feet Charleston,Fitness,3
127,Torokhtiy Oleksiy,Fitness,3
128,1664 gym,Fitness,2
129,GRAMS28,Fitness,3
130,REI,Outdoors,2
131,Snow Peak,Outdoors,2
132,Burton Snowboards,Outdoors,1
133,ATOMIC SKIING,Outdoors,3
134,Black Ember,Outdoors,2
135,Arc'teryx,Outdoors,1
136,Helly Hansen,Outdoors,3
137,Oboz Footwear,Outdoors,3
138,Merrell,Outdoors,3
139,KEEN,Outdoors,3
140,KEEN Utility,Outdoors,3
141,Salomon,Outdoors,1
142,Eddie Bauer,Outdoors,2
143,La Sportiva,Outdoors,2
144,The North Face,Outdoors,1
145,L.L.Bean,Outdoors,3
146,Huckberry,Outdoors,3
147,Dainese,Outdoors,3
148,Ikon Pass,Outdoors,3
149,Jenson USA,Outdoors,3
150,Matador,Outdoors,3
151,ALPAKA,Outdoors,1
152,Aer,Outdoors,1
153,Fliteboard,Outdoors,3
154,Restless Human,Outdoors,3
155,Grammarly,Tech,3
156,OMEN by HP,Tech,3
157,Migaku Inc.,Tech,3
158,Prusa Research 3D printers,Tech,3
159,GoDaddy,Tech,2
160,Velvet Caviar,Tech,3
161,Sony Electronics,Tech,2
162,Adobe,Tech,3
163,MSI Gaming,Tech,3
164,Nikon,Tech,3
165,Databricks,Tech,2
166,Back Market,Tech,3
167,HP,Tech,3
168,Lenovo United States,Tech,3
169,Best Buy,Tech,3
170,Canon USA,Tech,3
171,Peak Design,Tech,3
172,T-Mobile,Tech,3
173,Canva,Tech,3
174,Sennheiser,Tech,3
175,PolarPro,Tech,3
176,Ohsnap,Tech,3
177,WolfBox,Tech,3
178,Contour Design,Tech,3
179,RedPocket Mobile,Tech,3
180,Reality Labs,Tech,3
